Summary,Issue Type,Priority,Story Points,Epic Name,Epic Link,Description,Labels,Sprint,Assignee
Definição do stack tecnológico e ferramentas do projeto,Story,High,2,Ferramenta & Tecnologia,SUSA-EPIC-4,"Como tech lead, quero documentar formalmente as ferramentas utilizadas no hackathon (front-end, back-end, IA, prototipagem, apresentação, gestão de projeto), para que toda a equipe trabalhe em sincronia e sem sobreposição de esforços.",tech;stack,Sprint 1,
Avaliação e seleção da ferramenta de apresentação,Story,Medium,2,Ferramenta & Tecnologia,SUSA-EPIC-4,"Como equipe, quero comparar ferramentas de apresentação avaliando template, colaboração em tempo real, animações e exportação de PDF, para escolher a que melhor comunicará nossa solução para a banca avaliadora.",pitch;ferramentas,Sprint 1,
Configuração do repositório e ambiente de desenvolvimento,Story,High,3,Ferramenta & Tecnologia,SUSA-EPIC-4,"Como desenvolvedor, quero configurar o repositório Git (GitHub), estrutura de pastas do projeto, variáveis de ambiente e pipeline básico, para que o código seja versionado e a colaboração seja eficiente durante o hackathon.",tech;devops;git,Sprint 1,
Definição da arquitetura da IA (Eva),Story,High,5,Ferramenta & Tecnologia,SUSA-EPIC-4,"Como tech lead, quero definir qual modelo de IA será utilizado como base da Eva (ex: Gemini API, OpenAI), o prompt de sistema, os limites de contexto e o fluxo de fallback, para garantir respostas confiáveis e dentro do escopo de tecnologia assistiva.",tech;ia;eva,Sprint 1,
Avaliação de viabilidade de integração com Gov.br e CNES,Story,Medium,3,Ferramenta & Tecnologia,SUSA-EPIC-4,"Como tech lead, quero documentar a viabilidade técnica (APIs disponíveis, sandbox, documentação) de integração com Gov.br para autenticação e CNES para validação do profissional, para incluir na proposta técnica do pitch com dados reais.",tech;integracao;govbr,Sprint 2,
Tabela/planilha de planejamento de cada módulo,Story,High,3,Prototipagem,SUSA-EPIC-5,"Como coordenador de conteúdo, quero criar uma planilha (Google Sheets ou Notion) com a estrutura detalhada de cada módulo (título, objetivo, tópicos, tipo de mídia, quiz, duração estimada, responsável e status), para gerenciar a produção do conteúdo de forma visual e colaborativa.",conteudo;planejamento;planilha,Sprint 1,
Wireframes de baixa fidelidade das telas principais,Story,High,5,Prototipagem,SUSA-EPIC-5,"Como designer, quero criar wireframes (papel ou Figma) das telas principais do SUSAssist (onboarding, trilha, módulo, simulador, perfil/badges), para validar o fluxo de navegação com o time antes de investir em design de alta fidelidade.",ux;wireframe;figma,Sprint 2,
Protótipo navegável de alta fidelidade (MVP do protótipo),Story,High,13,Prototipagem,SUSA-EPIC-5,"Como designer, quero transformar os wireframes aprovados em um protótipo clicável de alta fidelidade no Figma, cobrindo pelo menos a tela de onboarding, 1 módulo completo e a tela de badges, para demonstrar a experiência real durante o pitch.",design;figma;prototipo,Sprint 2,
Desenvolvimento do protótipo web interativo (HTML/CSS/JS),Story,High,13,Prototipagem,SUSA-EPIC-5,"Como desenvolvedor, quero implementar o protótipo web do SUSAssist usando HTML, CSS e JavaScript, cobrindo a navegação entre módulos, o quiz interativo e a tela de badges, para ter uma demonstração ao vivo e funcional durante o hackathon.",tech;frontend;prototipo,Sprint 2,
Integração da Eva (chatbot de IA) no protótipo web,Story,Medium,8,Prototipagem,SUSA-EPIC-5,"Como desenvolvedor, quero integrar um chatbot funcional com a API de IA escolhida no protótipo web, com pelo menos 5 fluxos de pergunta-resposta sobre O&P, para demonstrar a funcionalidade da Eva ao vivo durante o pitch.",tech;ia;eva;chatbot,Sprint 3,
Estrutura do pitch deck (outline de slides),Story,High,3,Pitch & Apresentação,SUSA-EPIC-6,"Como PO, quero definir a estrutura narrativa do pitch (problema → solução → demo → impacto → viabilidade → time → call to action), alinhada com os critérios de avaliação do edital, para garantir que cada slide maximize a pontuação.",pitch;estrutura,Sprint 3,
Criação do pitch deck no Canva (design final),Story,High,8,Pitch & Apresentação,SUSA-EPIC-6,"Como designer, quero criar o pitch deck completo no Canva com a identidade visual do SUSAssist, com no máximo 12 slides, seguindo as diretrizes tipográficas e de cores definidas, para impactar visualmente a banca avaliadora desde o primeiro slide.",design;canva;pitch,Sprint 3,
Slide de demonstração: mockup da plataforma no pitch,Story,High,5,Pitch & Apresentação,SUSA-EPIC-6,"Como designer, quero criar slides com mockups realistas do SUSAssist em telas de celular e desktop (device frames), mostrando as principais funcionalidades, para que a banca entenda a experiência do usuário sem precisar ver o protótipo ao vivo.",design;mockup;pitch,Sprint 3,
Slide de impacto com dados e métricas,Story,High,3,Pitch & Apresentação,SUSA-EPIC-6,"Como equipe, quero criar 1 slide com dados de impacto quantitativos (ex: número de profissionais da APS, taxa de abandono de equipamentos, custo de encaminhamentos incorretos), para fortalecer o argumento clínico e social durante o pitch.",pitch;dados;impacto,Sprint 3,
Slide de roadmap e escalabilidade,Story,Medium,2,Pitch & Apresentação,SUSA-EPIC-6,"Como PO, quero criar 1 slide com o roadmap de evolução do produto pós-hackathon (ex: integração AVASUS, novos módulos temáticos, expansão para outros CIDs), para demonstrar visão de longo prazo e escalabilidade da solução.",pitch;roadmap;escalabilidade,Sprint 3,
Ensaio do pitch e gravação para feedback interno,Story,Medium,3,Pitch & Apresentação,SUSA-EPIC-6,"Como time, quero realizar pelo menos 2 ensaios cronometrados do pitch (tempo alvo: 10 minutos + 5 de perguntas), com gravação e registro de pontos de melhoria, para que a apresentação final seja fluida, segura e impactante.",pitch;ensaio,Sprint 3,
Validação do conteúdo clínico com especialista,Story,High,5,Validação & Qualidade,SUSA-EPIC-7,"Como coordenador de conteúdo, quero submeter os roteiros dos 4 módulos a pelo menos 1 profissional clínico especialista em reabilitação para revisão técnica, para garantir que as informações sobre prescrição de O&P estejam corretas e atualizadas.",validacao;clinico;qualidade,Sprint 3,
Teste de usabilidade do protótipo com 3 usuários,Story,Medium,5,Validação & Qualidade,SUSA-EPIC-7,"Como UX researcher, quero conduzir testes de usabilidade rápidos (30 min cada) do protótipo navegável com pelo menos 3 perfis de profissionais de saúde, para identificar problemas críticos de navegação antes da apresentação final.",ux;teste;usabilidade,Sprint 3,
Checklist de conformidade LGPD,Story,High,3,Validação & Qualidade,SUSA-EPIC-7,"Como tech lead, quero revisar a solução contra uma lista de verificação da LGPD (dados coletados, base legal, consentimento, direitos do titular, segurança), para garantir que a proposta seja sólida no critério de peso 20% do edital.",tech;lgpd;conformidade,Sprint 3,
Checklist final de entregáveis do hackathon,Story,High,2,Validação & Qualidade,SUSA-EPIC-7,"Como PO, quero criar um checklist com todos os entregáveis obrigatórios do edital (documento de proposta, protótipo, pitch deck, repositório), revisando item a item antes da submissão, para garantir que não haja pontos desclassificatórios.",po;checklist;entregaveis,Sprint 3,
